work_id,state,mp_name,work_category,work_description,cost_estimate,implementing_agency,sanction_date,completion_days,payment_released_pct,status,is_synthetic_anomaly,anomaly_type,cost_ratio,completion_days_filled,completion_speed_ratio,vendor_concentration,expected_payment,payment_mismatch,iso_flag,iso_score,lof_flag,lof_score,risk_level,risk_score
W000011,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Drainage system,Drainage system at Secunderabad ward 9,1723705.79,"Choudhury, Bakshi and Maharaj Works Dept",2023-09-14,154.0,0.742,Completed,False,,1.1820469890936045,154.0,0.8651685393258427,0.4351851851851851,1.0,-0.258,1,-0.07654249417817205,1,1.081386626978735,Low,71.8
W000012,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Playground development,Playground development at Mahbubnagar ward 8,809002.51,Kapoor and Sons Works Dept,2025-01-10,103.0,0.81,Completed,False,,0.7276190831840023,103.0,0.5786516853932584,1.3055555555555554,1.0,-0.18999999999999995,1,-0.10100426598968537,1,0.9873906984204636,Low,24.0
W000013,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Public toilet construction,Public toilet construction at Varanasi ward 18,282427.99,Kapoor and Sons Works Dept,2024-04-23,,0.936,Sanctioned,False,,0.931596105172912,178.0,1.0,1.3055555555555554,0.1,0.8360000000000001,1,-0.061368692790375545,1,1.017804002437876,Low,59.0
W000014,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Drainage system,Drainage system at Jorhat ward 11,899347.56,Balan Inc Works Dept,2023-05-28,,0.854,In Progress,False,,0.6167358035309958,178.0,1.0,1.523148148148148,0.5,0.354,1,-0.1340749984331963,1,1.073538369685172,Low,44.0
W000015,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Street lighting,Street lighting at Burhanpur ward 19,535069.47,"Chaudry, Chahal and Sami Works Dept",2023-06-07,,0.714,Sanctioned,False,,1.1822440497759552,178.0,1.0,0.8703703703703702,0.1,0.614,1,-0.09783495583732027,1,1.0964422350369483,Low,63.3
W000016,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Community hall construction,Community hall construction at Suryapet ward 15,4233951.83,Kapoor and Sons Works Dept,2025-01-31,187.0,0.751,Completed,False,,1.0949612254146857,187.0,1.050561797752809,1.3055555555555554,1.0,-0.249,1,-0.05822384208669806,1,1.061820020997266,Low,74.9
W000017,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Street lighting,Street lighting at Tadipatri ward 18,192283.54,"Chaudry, Chahal and Sami Works Dept",2023-08-21,,0.985,In Progress,False,,0.42485337658090805,178.0,1.0,0.8703703703703702,0.5,0.485,1,-0.08859701649123564,1,0.9975756522082417,Low,36.3
W000018,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Playground development,Playground development at Gangtok ward 12,5875488.326666058,Kapoor and Sons Works Dept,2024-06-12,,0.943,In Progress,True,cost_inflation,5.284430365373112,178.0,1.0,1.3055555555555554,0.5,0.44299999999999995,-1,0.08920826689834616,1,0.9791986983228005,Medium,51.8
W000019,Jammu And Kashmir,ABDUL RASHID SHEIKH,Library development,Library development at Shimoga ward 4,513229.64,"Kari, Mann and Buch Works Dept",2024-08-18,,0.729,In Progress,False,,0.7719020885212876,178.0,1.0,0.7653061224489796,0.5,0.22899999999999998,1,-0.1265741494432947,1,1.0419480698043775,Low,39.3
W000020,Jammu And Kashmir,ABDUL RASHID SHEIKH,School building repair,School building repair at Narasaraopet ward 13,884233.03,Setty-Patla Works Dept,2025-02-25,,0.832,In Progress,False,,1.0258817798599804,178.0,1.0,0.7653061224489796,0.5,0.33199999999999996,1,-0.1351284765646611,1,1.0405016441204415,Low,35.7
W000021,Jammu And Kashmir,ABDUL RASHID SHEIKH,Playground development,Playground development at Deoghar ward 18,570853.53,Boase Inc Works Dept,2024-07-23,195.0,0.849,Completed,False,,0.7029459007880469,195.0,1.095505617977528,1.530612244897959,1.0,-0.15100000000000002,1,-0.12872755251407164,1,0.9676100593233576,Low,5.9
W000022,Jammu And Kashmir,ABDUL RASHID SHEIKH,Drinking water supply,Drinking water supply at Ujjain ward 9,341266.23,Chaudhuri Group Works Dept,2025-02-27,286.0,0.973,Completed,False,,0.35265399345843224,286.0,1.6067415730337078,3.5714285714285716,1.0,-0.027000000000000024,-1,0.06579798433301953,1,1.062199490930922,Medium,86.9
W000023,Jammu And Kashmir,ABDUL RASHID SHEIKH,Drinking water supply,Drinking water supply at Nadiad ward 1,610535.98,Chaudhuri Group Works Dept,2024-01-26,171.0,0.899,Completed,False,,0.6309090456944935,171.0,0.9606741573033708,3.5714285714285716,1.0,-0.10099999999999998,1,-0.014526830673781244,1,0.9992841001238005,Low,58.0
W000024,Jammu And Kashmir,ABDUL RASHID SHEIKH,Library development,Library development at Proddatur ward 10,518197.75,Prabhakar LLC Works Dept,2023-09-30,,0.856,Sanctioned,False,,0.779374171554145,178.0,1.0,1.0204081632653061,0.1,0.756,1,-0.08852423615455407,1,0.9970250350440277,Low,35.9
W000025,Jammu And Kashmir,ABDUL RASHID SHEIKH,Playground development,Playground development at Anantapur ward 6,1165394.39,Prabhakar LLC Works Dept,2023-10-21,99.0,0.755,Completed,False,,1.435060249608838,99.0,0.5561797752808989,1.0204081632653061,1.0,-0.245,1,-0.06982380555038104,1,1.0460385804543493,Low,67.0
W000026,Jammu And Kashmir,ABDUL RASHID SHEIKH,Library development,Library development at Berhampur ward 1,978709.24,Boase Inc Works Dept,2023-04-01,213.0,0.933,Completed,False,,1.4719876786755381,213.0,1.196629213483146,1.530612244897959,1.0,-0.06699999999999995,1,-0.11073621561232055,1,1.0156616930049447,Low,35.5
W000027,Jammu And Kashmir,ABDUL RASHID SHEIKH,Drainage system,Drainage system at Satna ward 19,2378997.88,Boase Inc Works Dept,2024-02-09,121.0,0.968,Completed,False,,1.4281939006616835,121.0,0.6797752808988764,1.530612244897959,1.0,-0.03200000000000003,1,-0.08229445274597952,1,1.0364643165376493,Low,58.7
W000028,Jammu And Kashmir,ABDUL RASHID SHEIKH,Drinking water supply,Drinking water supply at Agartala ward 18,1017479.97,"Kari, Mann and Buch Works Dept",2024-08-10,268.0,0.977,Completed,False,,1.0514324100701844,268.0,1.5056179775280898,0.7653061224489796,1.0,-0.02300000000000002,1,-0.08961964773136055,1,1.0010190037460185,Low,37.6
W000029,Jammu And Kashmir,ABDUL RASHID SHEIKH,School building repair,School building repair at Rajpur Sonarpur ward 6,288492.5,Chaudhuri Group Works Dept,2025-02-04,,0.9985903827123463,Sanctioned,True,premature_payment,0.33470724270077923,178.0,1.0,3.5714285714285716,0.1,0.8985903827123464,-1,0.10304729454204842,-1,1.2653968127207311,High,98.3
W000030,Jammu And Kashmir,ABDUL RASHID SHEIKH,Library development,Library development at Rajpur Sonarpur ward 18,331659.1,"Kari, Mann and Buch Works Dept",2024-12-12,,0.798,Sanctioned,False,,0.4988183300697336,178.0,1.0,0.7653061224489796,0.1,0.6980000000000001,1,-0.061183969228145174,1,0.9929285064614135,Low,44.8
W000031,Jammu And Kashmir,ABDUL RASHID SHEIKH,Street lighting,Street lighting at Tenali ward 15,402640.24,Prabhakar LLC Works Dept,2024-05-13,,0.781,In Progress,False,,1.0,178.0,1.0,1.0204081632653061,0.5,0.281,1,-0.14008683372398323,1,0.9953841825759344,Low,12.0
W000032,Jammu And Kashmir,ABDUL RASHID SHEIKH,Public toilet construction,Public toilet construction at Asansol ward 11,431495.0,Boase Inc Works Dept,2023-08-02,123.0,0.807,Completed,False,,1.1020770958729047,123.0,0.6910112359550562,1.530612244897959,1.0,-0.19299999999999995,1,-0.10554186250917452,1,0.9937565713588095,Low,25.2
W000033,Jammu And Kashmir,ABDUL RASHID SHEIKH,Playground development,Playground development at Kolhapur ward 1,793308.31,Boase Inc Works Dept,2024-10-19,,0.863,In Progress,False,,0.9768754947974013,178.0,1.0,1.530612244897959,0.5,0.363,1,-0.1460841094167712,1,0.970972312175717,Low,1.2
W000034,Jammu And Kashmir,ABDUL RASHID SHEIKH,Road construction,Road construction at Kishanganj ward 11,1250957.52,Boase Inc Works Dept,2023-11-21,,0.941,Sanctioned,False,,0.5852425887643623,178.0,1.0,1.530612244897959,0.1,0.841,1,-0.055129019368960475,1,1.0304305228071466,Low,66.4
W000035,Jammu And Kashmir,ABDUL RASHID SHEIKH,Library development,Library development at Bhimavaram ward 7,352185.45,Prabhakar LLC Works Dept,2023-11-30,,0.996,In Progress,False,,0.5296901488421626,178.0,1.0,1.0204081632653061,0.5,0.496,1,-0.09773870965119041,1,1.0096983976543625,Low,38.4
W000036,Jammu And Kashmir,ABDUL RASHID SHEIKH,School building repair,School building repair at Ballia ward 16,4273489.123581503,Setty-Patla Works Dept,2024-11-05,207.0,0.76,Completed,True,cost_inflation,4.958076072222793,207.0,1.1629213483146068,0.7653061224489796,1.0,-0.24,-1,0.06683738941944639,1,1.022472946889486,Medium,74.1
W000037,Jammu And Kashmir,ABDUL RASHID SHEIKH,Community hall construction,Community hall construction at Mirzapur ward 12,1524849.53,Setty-Patla Works Dept,2023-07-06,,0.945,In Progress,False,,0.5478410593407348,178.0,1.0,0.7653061224489796,0.5,0.44499999999999995,1,-0.0986391802501192,1,1.106519083548775,Low,63.8
W000038,Bihar,ABHAY KUMAR SINHA,Public toilet construction,Public toilet construction at Dehri ward 4,382742.94,Devi PLC Works Dept,2023-05-26,,0.919,In Progress,False,,1.2714416140002471,178.0,1.0,1.5059459459459459,0.5,0.41900000000000004,1,-0.12075981864530061,1,1.0408111390270385,Low,41.4
W000039,Bihar,ABHAY KUMAR SINHA,Health sub-centre upgrade,Health sub-centre upgrade at Begusarai ward 8,2451048.83,Chand-Batta Works Dept,2024-03-13,,0.722,In Progress,False,,1.1631377149780078,178.0,1.0,0.6454054054054054,0.5,0.22199999999999998,1,-0.1110480490991454,1,1.0108925032336513,Low,32.5
W000040,Bihar,ABHAY KUMAR SINHA,Community hall construction,Community hall construction at Raipur ward 6,3113095.78,Dua Ltd Works Dept,2024-10-01,174.0,0.735,Completed,False,,0.8443557071589258,174.0,0.9775280898876404,1.5059459459459459,1.0,-0.265,1,-0.07688462283138897,1,1.0576371875721933,Low,67.1
W000041,Bihar,ABHAY KUMAR SINHA,Public toilet construction,Public toilet construction at Mau ward 15,445241.37,Rajan Group Works Dept,2023-12-12,,0.887,Sanctioned,False,,1.4790564290813077,178.0,1.0,1.721081081081081,0.1,0.787,1,-0.051923444870462354,1,1.0294236975331164,Low,66.9
W000042,Bihar,ABHAY KUMAR SINHA,Drinking water supply,Drinking water supply at Durg ward 1,697077.63,Devi PLC Works Dept,2023-05-22,,0.955707684197443,Sanctioned,True,premature_payment,0.7309825333453585,178.0,1.0,1.5059459459459459,0.1,0.855707684197443,1,-0.061647437634179236,1,0.9945020800739502,Low,45.6
W000043,Bihar,ABHAY KUMAR SINHA,Community hall construction,Community hall construction at Sangli-Miraj & Kupwad ward 7,2899420.45,Sami PLC Works Dept,2023-09-18,164.0,0.798,Completed,False,,0.7864011830727551,164.0,0.9213483146067416,0.6454054054054054,1.0,-0.20199999999999996,1,-0.07950530325970645,1,1.0850189333541538,Low,70.9
W000044,Bihar,ABHAY KUMAR SINHA,Road construction,Road construction at Delhi ward 13,3134739.77,Dua Ltd Works Dept,2023-09-16,157.0,0.891,Completed,False,,1.3211296936275176,157.0,0.8820224719101124,1.5059459459459459,1.0,-0.10899999999999999,1,-0.09527098407893664,1,1.03184721924416,Low,50.5
W000045,Bihar,ABHAY KUMAR SINHA,Public toilet construction,Public toilet construction at Orai ward 18,454885.1,Sami PLC Works Dept,2024-01-18,,0.842,In Progress,False,,1.5110921333484657,178.0,1.0,0.6454054054054054,0.5,0.34199999999999997,1,-0.10179087980247503,1,1.0649851617339694,Low,56.5
W000046,Bihar,ABHAY KUMAR SINHA,School building repair,School building repair at Guna ward 2,319594.25,Rajan Group Works Dept,2023-10-12,135.0,0.914,Completed,False,,0.4545605827013972,135.0,0.7584269662921348,1.721081081081081,1.0,-0.08599999999999997,1,-0.09167452528895148,1,0.9850394937694491,Low,28.1
W000047,Bihar,ABHAY KUMAR SINHA,Library development,Library development at Bihar Sharif ward 2,832549.53,Rajan Group Works Dept,2023-06-02,251.0,0.868,Completed,False,,1.2174269186821016,251.0,1.4101123595505618,1.721081081081081,1.0,-0.132,1,-0.10181224515982651,1,0.9910283201296879,Low,25.6
W000048,Bihar,ABHAY KUMAR SINHA,Public toilet construction,Public toilet construction at Jamnagar ward 6,408386.87,Devi PLC Works Dept,2024-08-27,,0.848,In Progress,False,,1.3566287104585368,178.0,1.0,1.5059459459459459,0.5,0.348,1,-0.12293528203801274,1,1.0383062763128306,Low,39.6
W000049,Bihar,ABHAY KUMAR SINHA,Library development,Library development at Nanded ward 20,665912.98,Devi PLC Works Dept,2023-06-22,277.0,0.828,Completed,False,,0.9737563449850437,277.0,1.5561797752808988,1.5059459459459459,1.0,-0.17200000000000004,1,-0.0990939043804655,1,0.9814568293552544,Low,22.6
W000050,Bihar,ABHAY KUMAR SINHA,Community hall construction,Community hall construction at Khora  ward 19,1614386.07,Chand-Batta Works Dept,2024-05-18,,0.732,Sanctioned,False,,0.4378651310761692,178.0,1.0,0.6454054054054054,0.1,0.632,1,-0.04968217602039632,-1,1.1818488968914478,Medium,87.0
W000051,Bihar,ABHAY KUMAR SINHA,Playground development,Playground development at Unnao ward 14,444000.86,Rajan Group Works Dept,2024-11-29,,0.891,In Progress,False,,0.4672993150405161,178.0,1.0,1.721081081081081,0.5,0.391,1,-0.11267527424194834,1,1.0060622240724444,Low,28.9
W000052,Bihar,ABHAY KUMAR SINHA,Playground development,Playground development at Gorakhpur ward 7,840098.37,Dua Ltd Works Dept,2024-09-17,,0.853,Sanctioned,False,,0.8841816046654821,178.0,1.0,1.5059459459459459,0.1,0.753,1,-0.0964777224336697,1,0.9836270625728973,Low,24.9
W000053,Bihar,ABHAY KUMAR SINHA,Community hall construction,Community hall construction at Aizawl ward 10,5584049.13,Sami PLC Works Dept,2023-12-28,161.0,0.775,Completed,False,,1.514545033359473,161.0,0.9044943820224719,0.6454054054054054,1.0,-0.22499999999999998,-1,0.004005734632126168,1,1.0998350284833736,Medium,90.9
W000054,Bihar,ABHAY KUMAR SINHA,Drainage system,Drainage system at Howrah ward 19,1320765.85,Devi PLC Works Dept,2023-06-14,62.0,0.927,Completed,False,,0.9179706477551298,62.0,0.34831460674157305,1.5059459459459459,1.0,-0.07299999999999995,1,-0.07989510487435181,1,1.0310438988295352,Low,57.6
W000055,Bihar,ABHAY KUMAR SINHA,Drinking water supply,Drinking water supply at Tezpur ward 5,574557.8,Dua Ltd Works Dept,2024-10-02,114.0,0.723,Completed,False,,0.6025035062412429,114.0,0.6404494382022472,1.5059459459459459,1.0,-0.277,1,-0.07120709307391188,1,1.0706446120542938,Low,72.1
W000056,Bihar,ABHAY KUMAR SINHA,Drinking water supply,Drinking water supply at Guwahati ward 15,647701.74,Rajan Group Works Dept,2023-12-07,154.0,0.748,Completed,False,,0.679205067529418,154.0,0.8651685393258427,1.721081081081081,1.0,-0.252,1,-0.10292450188177932,1,0.9756886777537508,Low,18.9
W000057,Bihar,ABHAY KUMAR SINHA,Street lighting,Street lighting at Coimbatore ward 1,754303.47,Rajan Group Works Dept,2024-12-17,,0.942,In Progress,False,,1.6046457930361075,178.0,1.0,1.721081081081081,0.5,0.44199999999999995,1,-0.09460014769823827,1,1.0546025694991836,Low,58.0
W000058,Bihar,ABHAY KUMAR SINHA,Street lighting,Street lighting at Warangal ward 5,561712.44,Dua Ltd Works Dept,2025-02-08,,0.961,Sanctioned,False,,1.1949428043093144,178.0,1.0,1.5059459459459459,0.1,0.861,1,-0.05675735473067117,1,1.0246751571993375,Low,63.6
W000059,Bihar,ABHAY KUMAR SINHA,Drinking water supply,Drinking water supply at Jamalpur ward 9,1264406.49,Dua Ltd Works Dept,2023-07-19,,0.756,In Progress,False,,1.3259054938235684,178.0,1.0,1.5059459459459459,0.5,0.256,1,-0.1367277577891735,1,0.995551596350008,Low,13.1
W000060,Bihar,ABHAY KUMAR SINHA,Playground development,Playground development at Bilaspur ward 9,1649582.6,Rajan Group Works Dept,2023-11-02,243.0,0.862,Completed,False,,1.7361426261263406,243.0,1.3651685393258426,1.721081081081081,1.0,-0.138,1,-0.06311708897717422,-1,1.1423461401040487,Medium,81.9
W000061,Bihar,ABHAY KUMAR SINHA,Public toilet construction,Public toilet construction at Rajpur Sonarpur ward 2,422976.06,Devi PLC Works Dept,2023-12-14,,0.9568963135925294,Sanctioned,True,premature_payment,1.4050928396219808,178.0,1.0,1.5059459459459459,0.1,0.8568963135925294,1,-0.044443310811890346,1,1.037834546231804,Low,72.1
W000062,Bihar,ABHAY KUMAR SINHA,Health sub-centre upgrade,Health sub-centre upgrade at Bijapur ward 5,1363208.34,Dua Ltd Works Dept,2024-01-09,71.0,0.733,Completed,False,,0.6469063423867256,71.0,0.398876404494382,1.5059459459459459,1.0,-0.267,1,-0.05499591660355557,1,1.0407211051061522,Low,70.4
W000063,Bihar,ABHAY KUMAR SINHA,School building repair,School building repair at Dindigul ward 18,427935.16,Devi PLC Works Dept,2024-06-26,,0.828,In Progress,False,,0.6086544288203422,178.0,1.0,1.5059459459459459,0.5,0.32799999999999996,1,-0.1354786416195763,1,0.9987853422528492,Low,15.3
W000064,Bihar,ABHAY KUMAR SINHA,Drinking water supply,Drinking water supply at Hazaribagh ward 5,1281617.72,Rajan Group Works Dept,2023-06-17,,0.958,In Progress,False,,1.3439538545310976,178.0,1.0,1.721081081081081,0.5,0.45799999999999996,1,-0.11219558876908448,1,0.9970118625542395,Low,23.8
W000065,Bihar,ABHAY KUMAR SINHA,Road construction,Road construction at Jamshedpur ward 14,822246.82,Chand-Batta Works Dept,2024-04-13,,0.853,In Progress,False,,0.34653424816593326,178.0,1.0,0.6454054054054054,0.5,0.353,1,-0.09145436028825127,1,1.0927757886785803,Low,66.4
W000066,West Bengal,ABHIJIT GANGOPADHYAY,Street lighting,Street lighting at Alwar ward 2,421317.15,"Kannan, Amble and Bobal Works Dept",2024-04-08,,0.767,Sanctioned,False,,0.8185209192744506,178.0,1.0,1.0809371671991481,0.1,0.667,1,-0.10209452355919435,1,1.010164198856184,Low,36.4
W000067,West Bengal,ABHIJIT GANGOPADHYAY,Community hall construction,Community hall construction at Kakinada ward 12,2039394.15,Narayanan Inc Works Dept,2025-02-27,,0.801,In Progress,False,,0.5506953697959989,178.0,1.0,2.1618743343982962,0.5,0.30100000000000005,1,-0.08805456574426052,1,1.1061790941377354,Low,69.3
W000068,West Bengal,ABHIJIT GANGOPADHYAY,Health sub-centre upgrade,Health sub-centre upgrade at Aurangabad ward 8,2862983.29,Bail-Karpe Works Dept,2024-12-26,251.0,0.797,Completed,False,,1.4149332331958697,251.0,1.4101123595505618,0.4323748668796592,1.0,-0.20299999999999996,1,-0.03206224975617089,1,1.1100488150340575,Low,87.7
W000069,West Bengal,ABHIJIT GANGOPADHYAY,School building repair,School building repair at Latur ward 11,718790.62,"Bhargava, Karnik and Bir Works Dept",2024-05-27,66.0,0.911,Completed,False,,0.9182222015331394,66.0,0.3707865168539326,0.6485623003194888,1.0,-0.08899999999999997,1,-0.06977631136588919,1,1.0225761134184315,Low,58.3
W000070,West Bengal,ABHIJIT GANGOPADHYAY,Community hall construction,Community hall construction at Vellore ward 4,3136333.21,"Bhargava, Karnik and Bir Works Dept",2023-12-30,,0.992,In Progress,False,,0.8469006233466062,178.0,1.0,0.6485623003194888,0.5,0.492,1,-0.07054432461813664,1,1.0787266242304385,Low,73.8
W000071,West Bengal,ABHIJIT GANGOPADHYAY,Road construction,Road construction at Bareilly ward 15,3879831.34,"Kannan, Amble and Bobal Works Dept",2024-07-25,116.0,0.776,Completed,False,,1.3953071887743778,116.0,0.651685393258427,1.0809371671991481,1.0,-0.22399999999999998,1,-0.04870031006216302,1,1.039765580849211,Low,71.7
W000072,West Bengal,ABHIJIT GANGOPADHYAY,Street lighting,Street lighting at Chinsurah ward 7,473211.53,"Bhargava, Karnik and Bir Works Dept",2023-11-20,117.0,0.79,Completed,False,,0.9193395914381108,117.0,0.6573033707865169,0.6485623003194888,1.0,-0.20999999999999996,1,-0.08728720941929446,1,1.0013504173865513,Low,38.9
W000073,West Bengal,ABHIJIT GANGOPADHYAY,Drainage system,Drainage system at Bhusawal ward 9,1069680.99,"Kannan, Amble and Bobal Works Dept",2024-01-11,281.0,0.711,Completed,False,,0.6716489605920472,281.0,1.5786516853932584,1.0809371671991481,1.0,-0.28900000000000003,1,-0.059931608354907684,1,1.0027678231799846,Low,50.7
W000074,West Bengal,ABHIJIT GANGOPADHYAY,Library development,Library development at Bhind ward 18,726695.03,"Kannan, Amble and Bobal Works Dept",2024-05-14,,0.851,Sanctioned,False,,1.0354987560108,178.0,1.0,1.0809371671991481,0.1,0.751,1,-0.10092188202876418,1,0.9802499917301868,Low,21.3
W000075,West Bengal,ABHIJIT GANGOPADHYAY,Road construction,Road construction at Navi Mumbai ward 6,964732.0,Narayanan Inc Works Dept,2023-07-28,,0.784,Sanctioned,False,,0.346947425513781,178.0,1.0,2.1618743343982962,0.1,0.684,1,-0.024078493442150295,-1,1.146130897187441,Medium,91.0
W000076,West Bengal,ABHIJIT GANGOPADHYAY,Street lighting,Street lighting at Sambhal ward 12,740372.83,"Kannan, Amble and Bobal Works Dept",2023-05-10,,0.772,In Progress,False,,1.438371662338992,178.0,1.0,1.0809371671991481,0.5,0.272,1,-0.13278746762727095,1,1.0098880042282155,Low,22.8
W000077,West Bengal,ABHIJIT GANGOPADHYAY,Health sub-centre upgrade,Health sub-centre upgrade at Moradabad ward 19,947747.69,Bail-Karpe Works Dept,2024-12-11,190.0,0.847,Completed,False,,0.4683924310524414,190.0,1.0674157303370786,0.4323748668796592,1.0,-0.15300000000000002,1,-0.08546909757956672,1,1.0444309926702304,Low,59.7
W000078,West Bengal,ABHIJIT GANGOPADHYAY,Street lighting,Street lighting at Nellore ward 17,790672.8,Narayanan Inc Works Dept,2023-05-16,241.0,0.773,Completed,False,,1.5360927678859115,241.0,1.353932584269663,2.1618743343982962,1.0,-0.22699999999999998,1,-0.049950773781289926,1,1.0499599417884258,Low,74.3
W000079,West Bengal,ABHIJIT GANGOPADHYAY,Community hall construction,Community hall construction at Jorhat ward 11,4524609.96,Narayanan Inc Works Dept,2024-04-07,170.0,0.928,Completed,False,,1.2217754744000122,170.0,0.9550561797752809,2.1618743343982962,1.0,-0.07199999999999995,1,-0.04616048260398409,1,1.0857103544391897,Low,82.4
W000080,West Bengal,ABHIJIT GANGOPADHYAY,Drainage system,Drainage system at Kolhapur ward 10,975275.09,Narayanan Inc Works Dept,2025-02-08,2.0,0.918,Completed,True,suspiciously_fast,0.61237182544472,2.0,0.011235955056179775,2.1618743343982962,1.0,-0.08199999999999996,-1,0.0006785918189852191,1,1.0770630001233406,Medium,87.8
W000081,West Bengal,ABHIJIT GANGOPADHYAY,Street lighting,Street lighting at South Dumdum ward 10,389059.04,Narayanan Inc Works Dept,2025-02-11,164.0,0.89,Completed,False,,0.7558509381183158,164.0,0.9213483146067416,2.1618743343982962,1.0,-0.10999999999999999,1,-0.10407219461560369,1,0.9763277870786677,Low,18.5
W000082,West Bengal,Abu Taher Khan,Community hall construction,Community hall construction at Kakinada ward 6,4350883.7,Ray Group Works Dept,2024-06-04,,0.9591479886074408,Sanctioned,True,premature_payment,1.1748643625906663,178.0,1.0,0.4323748668796592,0.1,0.8591479886074408,-1,0.013914973093176797,-1,1.286388918418808,High,96.7
W000083,West Bengal,Abu Taher Khan,Playground development,Playground development at Allahabad ward 1,526405.68,Bedi Ltd Works Dept,2024-02-03,163.0,0.951,Completed,False,,0.47130543679335835,163.0,0.9157303370786517,0.6485623003194888,1.0,-0.049000000000000044,1,-0.10368382397296805,1,0.9973339703610554,Low,28.2
